"CO_IES","TP_COR_RACA","TP_SEXO","IN_CONCLUINTE","IN_APOIO_BOLSA_PERMANENCIA","value","ANO_CENSO_SUP"
385,0,1,0,NA,5126,2010
385,0,1,1,NA,862,2010
385,1,2,0,NA,14,2010
385,1,1,0,NA,10,2010
385,1,1,1,NA,1,2010
385,2,2,0,NA,3,2010
385,2,1,0,NA,5,2010
385,3,2,0,NA,15,2010
385,3,1,0,NA,11,2010
385,3,1,1,NA,2,2010
385,9,2,0,NA,57,2010
385,9,2,1,NA,1,2010
385,9,1,0,NA,59,2010
385,9,1,1,NA,2,2010
396,0,2,0,NA,152,2010
396,0,2,1,NA,5,2010
396,0,1,0,0,5,2010
396,0,1,0,NA,117,2010
396,0,1,1,NA,11,2010
396,1,2,0,0,3,2010
396,1,2,0,NA,10,2010
396,1,1,0,0,1,2010
396,1,1,0,NA,6,2010
396,1,1,1,NA,2,2010
396,2,2,0,0,1,2010
396,2,2,0,NA,7,2010
396,2,1,0,NA,6,2010
396,3,2,0,0,18,2010
396,3,2,0,NA,759,2010
396,3,2,1,0,2,2010
396,3,2,1,NA,186,2010
396,3,1,0,0,14,2010
396,3,1,0,NA,713,2010
396,3,1,1,0,3,2010
396,3,1,1,NA,181,2010
396,4,2,0,NA,4,2010
396,4,1,0,NA,4,2010
396,9,2,0,0,1,2010
396,9,2,0,NA,1010,2010
396,9,2,1,NA,79,2010
396,9,1,0,0,2,2010
396,9,1,0,NA,962,2010
396,9,1,1,NA,64,2010
399,0,2,0,NA,9,2010
399,0,2,1,NA,1,2010
399,0,1,0,NA,3,2010
399,1,2,0,NA,38,2010
